config;instance;run;solutionCosts;integerSolutionCosts;optimal;feasible;total running time;total setup costs;number of too late jobs;number of batches;solve_time;total_time;normalized_objective_bound;int_objective_bound;normalization_const_int_to_float_obj;solution_method;instance_number;objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/01NewRandomOvenSchedulingInstance-n10-k2-a2--2904-10.37.39.dzn;1;0.893015873;28130;1;1;40;17;9;7;0.5118;1.050124;0.000222222;7;31500;singleobj-mzn-gurobi-noBounds;1;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/02NewRandomOvenSchedulingInstance-n10-k2-a2--2904-10.40.26.dzn;1;0.97968254;24688;1;1;48;14;10;6;0.5036;1.046294;0.000238095;6;25200;singleobj-mzn-gurobi-noBounds;2;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/03NewRandomOvenSchedulingInstance-n10-k2-a2--2904-10.42.41-mergedMachineIntervals.dzn;1;0.70031746;4412;1;1;50;4;7;7;0.5874;0.974199;0.001111111;7;6300;singleobj-mzn-gurobi-noBounds;3;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/04NewRandomOvenSchedulingInstance-n10-k2-a2--2904-10.46.21.dzn;1;0.492380952;3102;1;1;22;7;5;3;0.4853;0.85079;0.00047619;3;6300;singleobj-mzn-gurobi-noBounds;4;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/05NewRandomOvenSchedulingInstance-n10-k2-a2--2904-10.55.56.dzn;1;0.780627101;2995032;1;1;245;58;8;4;0.8805;1.241481;1.04E-06;4;3836700;singleobj-mzn-gurobi-noBounds;5;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/06NewRandomOvenSchedulingInstance-n10-k2-a5--2904-11.14.46.dzn;1;0.98;6174;1;1;37;13;10;6;0.6342;1.02518;0.000952381;6;6300;singleobj-mzn-gurobi-noBounds;6;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/07NewRandomOvenSchedulingInstance-n10-k2-a5--2904-11.16.46.dzn;1;0.995021167;38639856;1;1;664;118;10;10;0.5928;0.997809;2.58E-07;10;38833200;singleobj-mzn-gurobi-noBounds;7;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/08NewRandomOvenSchedulingInstance-n10-k2-a5--2904-11.17.04.dzn;1;0.990556901;12886650;1;1;488;98;10;7;0.7348;1.123423;5.38E-07;7;13009500;singleobj-mzn-gurobi-noBounds;8;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/09NewRandomOvenSchedulingInstance-n10-k2-a5--2904-11.17.31.dzn;1;0.901965552;2804256;1;1;459;168;9;8;0.6578;1.063723;2.57E-06;8;3109050;singleobj-mzn-gurobi-noBounds;9;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instances/10NewRandomOvenSchedulingInstance-n10-k2-a5--2904-11.26.38.dzn;1;0.887154762;1490420;1;1;437;105;9;5;0.5791;1.004232;2.98E-06;5;1680000;singleobj-mzn-gurobi-noBounds;10;batchcount
