config;instance;run;solutionCosts;optimal;feasible;totalTime;improvement of runtime over runtime without batching;average number of jobs per batch;normalised objective bound;total running time;total setup time;total setup costs;number of too late jobs;number of batches;solution_method;instance_number;objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.json;1;0.8932063492063492;-1;1;-1;-1;-1;-1;39;14;20;9;8;upperBounds;1;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/10RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json;1;0.981395238095238;-1;1;-1;-1;-1;-1;426;75;96;10;5;upperBounds;10;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/100RandomOvenSchedulingInstance-n250-k5-a5--2212-22.59.37.json;1;0.9551111111111111;-1;1;-1;-1;-1;-1;511;147;93;247;80;upperBounds;100;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/101RandomOvenSchedulingInstance-n500-k2-a2--2312-08.39.34.json;1;0.9661015873015874;-1;1;-1;-1;-1;-1;908;0;230;500;115;upperBounds;101;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/102RandomOvenSchedulingInstance-n500-k2-a2--2312-08.39.52.json;1;0.963038246409675;-1;1;-1;-1;-1;-1;6609;1425;1469;500;101;upperBounds;102;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/103RandomOvenSchedulingInstance-n500-k2-a2--2312-08.42.31.json;1;0.9787877198879552;-1;1;-1;-1;-1;-1;16614;2888;2673;499;286;upperBounds;103;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/104RandomOvenSchedulingInstance-n500-k2-a2--2312-08.43.18.json;1;0.7523365079365079;-1;1;-1;-1;-1;-1;1429;245;245;383;245;upperBounds;104;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/105RandomOvenSchedulingInstance-n500-k2-a2--2312-08.43.24.json;1;0.9790761904761904;-1;1;-1;-1;-1;-1;1839;588;351;500;280;upperBounds;105;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/106RandomOvenSchedulingInstance-n500-k2-a5--2312-08.45.54.json;1;0.9721587301587302;-1;1;-1;-1;-1;-1;1292;542;531;500;206;upperBounds;106;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/107RandomOvenSchedulingInstance-n500-k2-a5--2312-08.46.41.json;1;0.9850026666666667;-1;1;-1;-1;-1;-1;17733;5880;2940;500;294;upperBounds;107;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/108RandomOvenSchedulingInstance-n500-k2-a5--2312-08.48.35.json;1;0.9705142857142857;-1;1;-1;-1;-1;-1;1513;329;430;498;217;upperBounds;108;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/109RandomOvenSchedulingInstance-n500-k2-a5--2312-08.48.50.json;1;0.9631619047619048;-1;1;-1;-1;-1;-1;723;168;252;500;84;upperBounds;109;combined objective
~/oven-scheduling-problem/solution-methods/linux-x64/OvenSchedulingAlgorithmCLI -g --valO -i;../../instances/11RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json;1;0.9756825396825397;-1;1;-1;-1;-1;-1;26;8;11;10;5;upperBounds;11;combined objective
