config;instance;run;solutionCosts;integerSolutionCosts;optimal;feasible;total running time;total setup costs;number of too late jobs;number of batches;solve_time;total_time;normalized_objective_bound;int_objective_bound;normalization_const_int_to_float_obj;solution_method;instance_number;objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-noUB.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/42_oven_scheduling.minizinc_instance_3012-13.22.43.dzn;1;0.975936507936508;30742;-1;1;176.0;19.0;50.0;28.0;3609.9051;3612.50589;0.9753015873015872;30722.0;31500.0;mzn-gurobi-LB-noUB;42;combined objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-noUB.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/74_oven_scheduling.minizinc_instance_3012-13.23.41.dzn;1;0.976345238095238;11317794;-1;1;2903.0;233.0;100.0;61.0;3612.0742;3637.3413;0.9731349206349208;11280580.0;11592000.0;mzn-gurobi-LB-noUB;74;combined objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-noUB.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/83_oven_scheduling.minizinc_instance_3012-13.23.58.dzn;1;-1.0;-1;-1;-1;;;;;3554.5048;;;;;mzn-gurobi-LB-noUB;83;combined objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-noUB.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/84_oven_scheduling.minizinc_instance_3012-13.24.00.dzn;1;-1.0;-1;-1;-1;;;;;3549.1479;;;;;mzn-gurobi-LB-noUB;84;combined objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-noUB.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/85_oven_scheduling.minizinc_instance_3012-13.24.02.dzn;1;-1.0;-1;-1;-1;;;;;3554.1876;;;;;mzn-gurobi-LB-noUB;85;combined objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-noUB.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/86_oven_scheduling.minizinc_instance_3012-13.24.03.dzn;1;-1.0;-1;-1;-1;;;;;3553.0269;;;;;mzn-gurobi-LB-noUB;86;combined objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-noUB.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/94_oven_scheduling.minizinc_instance_3012-13.24.19.dzn;1;-1.0;-1;-1;-1;;;;;3450.6571;;;;;mzn-gurobi-LB-noUB;94;combined objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-noUB.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/95_oven_scheduling.minizinc_instance_3012-13.24.21.dzn;1;-1.0;-1;-1;-1;;;;;3453.6004;;;;;mzn-gurobi-LB-noUB;95;combined objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-noUB.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/96_oven_scheduling.minizinc_instance_3012-13.24.23.dzn;1;-1.0;-1;-1;-1;;;;;3457.0561;;;;;mzn-gurobi-LB-noUB;96;combined objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-noUB.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/99_oven_scheduling.minizinc_instance_3012-13.24.28.dzn;1;-1.0;-1;-1;-1;;;;;3456.8426;;;;;mzn-gurobi-LB-noUB;99;combined objective
