config;instance;run;solutionCosts;integerSolutionCosts;optimal;feasible;total running time;total setup costs;number of too late jobs;number of batches;solve_time;total_time;normalized_objective_bound;int_objective_bound;normalization_const_int_to_float_obj;solution_method;instance_number;objective
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-batchcount-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn;1;0.887809524;27966;1;1;34;15;9;7;0.5137;1.407206;0.000222222;7;31500;singleobj-mzn-gurobi-LB-noUB;1;batchcount
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-batchcount-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn ../../instancesUC1withLB/mzn/warmstart/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.892253968;28106;1;1;39;17;9;7;0.5473;1.97208;0.000222222;7;31500;singleobj-mzn-gurobiWS-LB-noUB;1;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/1_oven_scheduling.cpoptimizer_instance_1212-10.32.35.dat;1;0.000222222;7;1;1;36;15;9;7;0.09;0.18;0.000222222;7;31500;singleobj-opl-reprjob-LB-noUB;1;batchcount
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-batchcount.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.000222222;7;1;1;36;15;9;7;0.06;0.08;0.000222222;7;31500;singleobj-opl-reprjob-LB-WS-noUB;1;batchcount
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-ovenruntime-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn;1;0.887809524;27966;1;1;34;15;9;7;0.639;1.218444;0.001079365;34;31500;singleobj-mzn-gurobi-LB-noUB;1;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn ../../instancesUC1withLB/mzn/warmstart/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.983047619;30966;1;1;34;15;10;7;0.6376;1.027783;0.001079365;34;31500;singleobj-mzn-gurobiWS-LB-noUB;1;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/1_oven_scheduling.cpoptimizer_instance_1212-10.32.35.dat;1;0.001079365;34;1;1;34;17;10;7;0.04;0.07;0.001079365;34;31500;singleobj-opl-reprjob-LB-noUB;1;ovenruntime
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-ovenruntime.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.001079365;34;1;1;34;15;9;7;0.04;0.08;0.001079365;34;31500;singleobj-opl-reprjob-LB-WS-noUB;1;ovenruntime
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-setupcosts-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn;1;0.887809524;27966;1;1;34;15;9;7;0.528;1.199491;0.00047619;15;31500;singleobj-mzn-gurobi-LB-noUB;1;setupcosts
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-noUB-setupcosts-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn ../../instancesUC1withLB/mzn/warmstart/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dzn;1;0.986857143;31086;1;1;39;15;10;7;0.5251;0.902924;0.00047619;15;31500;singleobj-mzn-gurobiWS-LB-noUB;1;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/1_oven_scheduling.cpoptimizer_instance_1212-10.32.35.dat;1;0.00047619;15;1;1;36;15;9;7;0.07;0.09;0.00047619;15;31500;singleobj-opl-reprjob-LB-noUB;1;setupcosts
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart-noUB-setupcosts.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/1_warm_start_01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.dat;1;0.00047619;15;1;1;34;15;9;7;0.08;0.09;0.00047619;15;31500;singleobj-opl-reprjob-LB-WS-noUB;1;setupcosts
~/minizinc-executables/mzn-gurobi.sh ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-tardiness-objective.mzn $file --time-limit 3600000 -v;../../instancesUC1withLB/mzn/1_oven_scheduling.minizinc_instance_1212-10.32.36.dzn;1;0.801904762;25260;1;1;45;18;8;8;0.4342;0.798999;0.000253968;8;31500;singleobj-mzn-gurobi-LB-noUB;1;tardiness
