config;instance;run;solutionCosts;integerSolutionCosts;optimal;feasible;total running time;total setup costs;number of too late jobs;number of batches;solve_time;total_time;normalized_objective_bound;int_objective_bound;normalization_const_int_to_float_obj;solution_method;instance_number;objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dzn ../../mzn-warmstart-data/warm_start_23NewRandomOvenSchedulingInstance-n25-k2-a2--2904-12.40.52.dzn;1;0.9731141901576684;64156932;1;1;638.0;123.0;25.0;;2463.8577;2465.01426;9.677003465823342e-06;638.0;65929500.0;singleobj-mzn-gurobiWS-noBounds;23;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/32NewRandomOvenSchedulingInstance-n25-k5-a2--2904-13.18.30.dzn ../../mzn-warmstart-data/warm_start_32NewRandomOvenSchedulingInstance-n25-k5-a2--2904-13.18.30.dzn;1;0.8652698412698413;13628;-1;1;93.0;28.0;22.0;;3609.8562;3611.97919;0.0046349206349206;73.0;15750.0;singleobj-mzn-gurobiWS-noBounds;32;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/33NewRandomOvenSchedulingInstance-n25-k5-a2--2904-13.33.12.dzn ../../mzn-warmstart-data/warm_start_33NewRandomOvenSchedulingInstance-n25-k5-a2--2904-13.33.12.dzn;1;0.9717663971248875;4731895;-1;1;555.0;45.0;25.0;;3608.8139;3610.9724;9.118213323065076e-05;444.0;4869375.0;singleobj-mzn-gurobiWS-noBounds;33;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/34NewRandomOvenSchedulingInstance-n25-k5-a2--2904-13.40.26.dzn ../../mzn-warmstart-data/warm_start_34NewRandomOvenSchedulingInstance-n25-k5-a2--2904-13.40.26.dzn;1;0.977476402116402;2309288;-1;1;607.0;298.0;25.0;;3609.685;3611.82845;0.0002462023354675;581.653017542;2362500.0;singleobj-mzn-gurobiWS-noBounds;34;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/35NewRandomOvenSchedulingInstance-n25-k5-a2--2904-13.44.49.dzn ../../mzn-warmstart-data/warm_start_35NewRandomOvenSchedulingInstance-n25-k5-a2--2904-13.44.49.dzn;1;0.9246894186245926;46504827;-1;1;305.0;41.0;24.0;;3609.7336;3611.99488;5.217600901190289e-06;262.405541123;50292375.0;singleobj-mzn-gurobiWS-noBounds;35;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/36NewRandomOvenSchedulingInstance-n25-k5-a5--2904-13.52.26.dzn ../../mzn-warmstart-data/warm_start_36NewRandomOvenSchedulingInstance-n25-k5-a5--2904-13.52.26.dzn;1;0.9653333333333334;17738;-1;1;49.0;6.0;25.0;;3608.687;3610.81951;0.002548230977687;46.823744215;18375.0;singleobj-mzn-gurobiWS-noBounds;36;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/37NewRandomOvenSchedulingInstance-n25-k5-a5--2904-14.00.21.dzn ../../mzn-warmstart-data/warm_start_37NewRandomOvenSchedulingInstance-n25-k5-a5--2904-14.00.21.dzn;1;0.9937980952380951;5478312;1;1;1109.0;420.0;25.0;;1212.6577;1215.17738;0.0002011791383219;1109.0;5512500.0;singleobj-mzn-gurobiWS-noBounds;37;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/38NewRandomOvenSchedulingInstance-n25-k5-a5--2904-14.03.34.dzn ../../mzn-warmstart-data/warm_start_38NewRandomOvenSchedulingInstance-n25-k5-a5--2904-14.03.34.dzn;1;0.8286429304029304;2827744;-1;1;888.0;172.0;21.0;;3609.1357;3611.64468;0.0001743061574613;594.819762337;3412500.0;singleobj-mzn-gurobiWS-noBounds;38;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/39NewRandomOvenSchedulingInstance-n25-k5-a5--2904-14.04.44.dzn ../../mzn-warmstart-data/warm_start_39NewRandomOvenSchedulingInstance-n25-k5-a5--2904-14.04.44.dzn;1;0.9488467532467532;16438770;1;1;1079.0;294.0;24.0;;2734.7706;2737.27384;6.227994227994228e-05;1079.0;17325000.0;singleobj-mzn-gurobiWS-noBounds;39;ovenruntime
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/direct-batch-pos-warmstart-ovenruntime-objective.mzn $1 -d $2 --time-limit 3600000 -v;../../instances/40NewRandomOvenSchedulingInstance-n25-k5-a5--2904-14.14.18.dzn ../../mzn-warmstart-data/warm_start_40NewRandomOvenSchedulingInstance-n25-k5-a5--2904-14.14.18.dzn;1;0.7920609523809524;2702908;1;1;884.0;279.0;20.0;;192.5663;194.95787;0.0002590476190476;884.0;3412500.0;singleobj-mzn-gurobiWS-noBounds;40;ovenruntime
