instance_number;solution_method;solutionCosts;optimal;total_time;int_objective_bound
1;mzn-gurobi;0.792571429;1;0.572435;24966.0
1;mzn-gurobiWS-LB-UB;0.7925714285714286;1;0.924036;24966.0
1;opl-reprjob-LB-UB;0.7925714285714286;1;0.39;24966.0
1;opl-reprjob-LB-WS-UB;0.7925714285714286;1;0.42;24966.0
1;mzn-gurobi-LB-noUB;0.7925714285714286;1;1.210305;24966.0
1;opl-reprjob-LB-noUB;0.7925714285714286;1;0.36;24966.0
1;mzn-gurobiWS-LB-noUB;0.7925714285714286;1;1.169393;24966.0
1;opl-reprjob-LB-WS-noUB;0.7925714285714286;1;0.42;24966.0
1;opl-reprjob;0.792571429;1;0.31;24966.0
1;opl-reprjob-WS;0.792571429;1;0.44;24966.0
1;mzn-gurobi-WS;0.792571429;1;0.536786;24966.0
1;mzn-gurobi-LB-UB;0.7925714285714286;1;1.2619889999999998;24966.0
2;mzn-gurobiWS-LB-noUB;0.977936507936508;1;1.06183;24644.0
2;mzn-gurobi-LB-UB;0.977936507936508;1;1.31925;24644.0
2;mzn-gurobi-LB-noUB;0.977936507936508;1;1.809775;24644.0
2;opl-reprjob-LB-WS-noUB;0.977936507936508;1;0.38;24644.0
2;opl-reprjob-LB-WS-UB;0.977936507936508;1;0.39;24644.0
2;mzn-gurobiWS-LB-UB;0.977936507936508;1;1.6303040000000002;24644.0
2;opl-reprjob-LB-noUB;0.977936507936508;1;0.34;24644.0
2;opl-reprjob-LB-UB;0.977936507936508;1;0.33;24644.0
2;opl-reprjob;0.977936508;1;0.32;24644.0
2;opl-reprjob-WS;0.977936508;1;0.46;24644.0
2;mzn-gurobi;0.977936508;1;0.688148;24644.0
2;mzn-gurobi-WS;0.977936508;1;0.771971;24644.0
3;mzn-gurobiWS-LB-UB;0.2255555555555555;1;1.03359;1421.0
3;opl-reprjob-LB-UB;0.2255555555555555;1;0.08;1421.0
3;opl-reprjob-LB-noUB;0.2255555555555555;1;0.09;1421.0
3;mzn-gurobiWS-LB-noUB;0.2255555555555555;1;0.847416;1421.0
3;opl-reprjob-WS;0.225555556;1;0.11;1421.0
3;mzn-gurobi-LB-UB;0.2255555555555555;1;1.068095;1421.0
3;opl-reprjob-LB-WS-UB;0.2255555555555555;1;0.08;1421.0
3;opl-reprjob-LB-WS-noUB;0.2255555555555555;1;0.09;1421.0
3;opl-reprjob;0.225555556;1;0.09;1421.0
3;mzn-gurobi-WS;0.225555556;1;1.199013;1421.0
3;mzn-gurobi;0.225555556;1;1.108841;1421.0
3;mzn-gurobi-LB-noUB;0.2255555555555555;1;1.776132;1421.0
4;opl-reprjob-WS;0.492380952;1;0.77;3102.0
4;mzn-gurobiWS-LB-noUB;0.4923809523809523;1;5.774973;3102.0
4;opl-reprjob-LB-UB;0.4923809523809523;1;0.97;3102.0
4;mzn-gurobi;0.492380952;1;4.072088;3102.0
4;opl-reprjob;0.492380952;1;0.68;3102.0
4;opl-reprjob-LB-WS-UB;0.4923809523809523;1;0.66;3102.0
4;mzn-gurobiWS-LB-UB;0.4923809523809523;1;3.855719;3102.0
4;opl-reprjob-LB-WS-noUB;0.4923809523809523;1;0.6;3102.0
4;mzn-gurobi-LB-UB;0.4923809523809523;1;8.13031;3102.0
4;opl-reprjob-LB-noUB;0.4923809523809523;1;0.54;3102.0
4;mzn-gurobi-LB-noUB;0.4923809523809523;1;5.110267;3102.0
4;mzn-gurobi-WS;0.492380952;1;4.38113;3102.0
5;mzn-gurobiWS-LB-noUB;0.308648056923919;1;6.625883;1184190.0
5;opl-reprjob-LB-WS-noUB;0.308648056923919;1;0.88;1184190.0
5;mzn-gurobi-LB-noUB;0.308648056923919;1;9.564358;1184190.0
5;opl-reprjob-LB-WS-UB;0.308648056923919;1;0.87;1184190.0
5;opl-reprjob-WS;0.308648057;1;0.91;1184190.0
5;opl-reprjob;0.308648057;1;0.85;1184190.0
5;mzn-gurobiWS-LB-UB;0.308648056923919;1;5.273711;1184190.0
5;mzn-gurobi-LB-UB;0.308648056923919;1;14.418573;1184190.0
5;opl-reprjob-LB-noUB;0.308648056923919;1;1.31;1184190.0
5;opl-reprjob-LB-UB;0.308648056923919;1;1.29;1184190.0
5;mzn-gurobi;0.308648057;1;5.518763;1184190.0
5;mzn-gurobi-WS;0.308648057;1;4.386372;1184190.0
6;opl-reprjob-LB-noUB;0.9765079365079364;1;2.5;6152.0
6;mzn-gurobiWS-LB-noUB;0.9765079365079364;1;1.253623;6152.0
6;mzn-gurobi-LB-noUB;0.9765079365079364;1;1.222045;6152.0
6;opl-reprjob-LB-WS-noUB;0.9765079365079364;1;2.67;6152.0
6;mzn-gurobi-WS;0.976507937;1;1.582743;6152.0
6;mzn-gurobi;0.976507937;1;1.863896;6152.0
6;opl-reprjob-LB-WS-UB;0.9765079365079364;1;2.81;6152.0
6;opl-reprjob;0.976507937;1;3.33;6152.0
6;opl-reprjob-LB-UB;0.9765079365079364;1;2.33;6152.0
6;mzn-gurobi-LB-UB;0.9765079365079364;1;1.624832;6152.0
6;opl-reprjob-WS;0.976507937;1;3.88;6152.0
6;mzn-gurobiWS-LB-UB;0.9765079365079364;1;1.605791;6152.0
7;opl-reprjob-LB-WS-UB;0.9928679583449214;1;39.06;38556240.0
7;opl-reprjob-LB-noUB;0.9928679583449214;1;45.22;38556240.0
7;opl-reprjob;0.992867958;1;34.95;38556240.0
7;mzn-gurobi-LB-UB;0.9928679583449214;1;1.438976;38556240.0
7;opl-reprjob-WS;0.992867958;1;35.68;38556240.0
7;mzn-gurobiWS-LB-noUB;0.9928679583449214;1;1.134504;38556240.0
7;mzn-gurobi-WS;0.992867958;1;1.567067;38556240.0
7;opl-reprjob-LB-WS-noUB;0.9928679583449214;1;44.04;38556240.0
7;opl-reprjob-LB-UB;0.9928679583449214;1;38.59;38556240.0
7;mzn-gurobi-LB-noUB;0.9928679583449214;1;1.111356;38556240.0
7;mzn-gurobiWS-LB-UB;0.9928679583449214;1;1.103546;38556240.0
7;mzn-gurobi;0.992867958;1;1.051983;38556240.0
8;mzn-gurobi-LB-UB;0.9904277643260694;1;1.093729;12884970.0
8;opl-reprjob-LB-WS-UB;0.9904277643260694;1;0.05;12884970.0
8;mzn-gurobiWS-LB-UB;0.9904277643260694;1;1.128178;12884970.0
8;opl-reprjob-LB-UB;0.9904277643260694;1;0.04;12884970.0
