config;instance;run;solutionCosts;optimal;feasible;totalTime;improvement of runtime over runtime without batching;average number of jobs per batch;normalised objective bound;total running time;total setup time;total setup costs;number of too late jobs;number of batches;number of too late jobs (simple bound);integer objective bound;time required for calculation of batch count lower bound;time required for calculation of tardiness lower bound;time required for calculation of setup cost lower bound;solution_method;instance_number;objective
#NAME?;../../instances/01RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.json;1;-1;-1;-1;0.72635;1.40625;1.666666667;0.694222222;32;0;10;7;6;7;21868;0.02869;0.03271;0.72635;lowerBounds;1;combined objective
#NAME?;../../instances/02RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.json;1;-1;-1;-1;0.96051;1.756097561;2;0.974126984;41;0;7;10;5;10;24548;0.02659;0.02379;0.96051;lowerBounds;2;combined objective
#NAME?;../../instances/03RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.json;1;-1;-1;-1;0.96062;1.414634146;1.666666667;0.216507937;41;0;0;2;6;2;1364;0.02656;0.02391;0.96062;lowerBounds;3;combined objective
#NAME?;../../instances/04RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.json;1;-1;-1;-1;0.91063;2.5;3.333333333;0.206666667;22;0;7;2;3;2;1302;0.02542;0.02882;0.91063;lowerBounds;4;combined objective
#NAME?;../../instances/05RandomOvenSchedulingInstance-n10-k2-a2-WithInitialStates.json;1;-1;-1;-1;0.91241;2.355102041;2.5;0.018631637;245;0;56;0;4;0;71484;0.02724;0.02952;0.91241;lowerBounds;5;combined objective
#NAME?;../../instances/06RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json;1;-1;-1;-1;0.92246;1.6;1.666666667;0.976190476;35;0;5;10;6;10;6150;0.02844;0.02579;0.92246;lowerBounds;6;combined objective
#NAME?;../../instances/07RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json;1;-1;-1;-1;0.92516;1.079674797;1.111111111;0.988549798;615;0;29;10;9;10;38388552;0.02564;0.02535;0.92516;lowerBounds;7;combined objective
#NAME?;../../instances/08RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json;1;-1;-1;-1;0.91511;1.20781893;1.428571429;0.990427764;486;0;98;10;7;10;12884970;0.02718;0.02715;0.91511;lowerBounds;8;combined objective
#NAME?;../../instances/09RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json;1;-1;-1;-1;0.93638;1.199481865;1.428571429;0.704620061;386;0;147;7;7;7;2190699;0.0287;0.02585;0.93638;lowerBounds;9;combined objective
#NAME?;../../instances/10RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.json;1;-1;-1;-1;0.92883;1.610126582;2;0.598445238;395;0;92;6;5;6;1005388;0.02586;0.02615;0.92883;lowerBounds;10;combined objective
#NAME?;../../instances/11RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json;1;-1;-1;-1;0.93144;3.230769231;5;0.963238095;13;0;3;10;2;10;15171;0.02812;0.02662;0.93144;lowerBounds;11;combined objective
#NAME?;../../instances/12RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json;1;-1;-1;-1;0.90597;2.764705882;3.333333333;0.300571429;17;0;6;3;3;3;4734;0.02687;0.03023;0.90597;lowerBounds;12;combined objective
#NAME?;../../instances/13RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json;1;-1;-1;-1;0.90948;3.047120419;5;0.869894431;191;0;11;9;2;9;21555984;0.02677;0.029;0.90948;lowerBounds;13;combined objective
#NAME?;../../instances/14RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.json;1;-1;-1;-1;0.91315;2.877005348;5;0.585382716;187;0;16;6;2;6;1327647;0.02634;0.0336;0.91315;lowerBounds;14;combined objective
